Date_UTC
2011-08-06 04:00:00
2011-09-26 22:00:00
2011-10-25 02:00:00
2012-03-09 09:00:00
2012-04-24 05:00:00
2012-07-15 17:00:00
2012-10-01 05:00:00
2012-10-09 09:00:00
2012-11-14 08:00:00
2013-03-17 21:00:00
2013-06-01 09:00:00
2013-06-29 07:00:00
2014-02-19 09:00:00
2015-01-07 12:00:00
2015-03-17 23:00:00
2015-06-23 05:00:00
2015-09-09 13:00:00
2015-10-07 23:00:00
2015-12-20 23:00:00
2016-01-01 01:00:00
2016-10-13 18:00:00
2017-05-28 08:00:00
2017-09-08 02:00:00
2018-08-26 08:00:00
2021-11-04 14:00:00
2023-02-27 13:00:00
2023-03-24 03:00:00
2023-04-24 06:00:00
2023-11-05 20:00:00
2023-12-01 14:00:00
2024-03-03 20:00:00
2024-03-24 21:00:00
2024-04-19 20:00:00
2024-05-11 03:00:00
2024-06-28 13:00:00
2024-08-04 18:00:00
2024-08-12 17:00:00
2024-09-12 15:00:00
2024-09-17 09:00:00
2024-10-08 08:00:00
2024-10-11 02:00:00
2024-11-09 13:00:00
2025-01-01 16:00:00
2025-04-16 18:00:00
